date,bvsp,bvsp_daily_returns,vol,class
2000-03,18055.408571428572,0.0006548360787165834,0.019453811449709875,High
2000-04,15910.058947368421,-0.0068130641164476004,0.02402263398065894,High
2000-05,14694.279545454547,-0.0014736252536086429,0.023594250353555266,High
2000-06,16458.03476190476,0.00552441585456232,0.022787555022606938,High
2000-07,17087.240476190476,-0.0006067895468058722,0.020221352636445516,High
2000-08,17170.44391304348,0.0024235915612200393,0.01831315633085966,High
2000-09,16659.051,-0.00415564720182488,0.01563606234679036,Low
2000-10,15044.058095238093,-0.0030391748947001065,0.017649263443032193,High
2000-11,14406.706,-0.0054918009356525795,0.018393727514902532,High
2000-12,14715.092105263158,0.0075582840822465865,0.021455284594510283,High
2001-01,17120.44238095238,0.0072062694576728184,0.022232344626373978,High
2001-02,16596.644444444442,-0.005730992183251466,0.01891895686019933,High
2001-03,15329.679545454546,-0.004146580239795003,0.019034092266908435,High
2001-04,14432.245,0.001971433035621073,0.022958182100504675,High
2001-05,14688.536363636364,-0.0007058048594930442,0.021238912035169255,High
2001-06,14866.314000000002,-0.0001870544843187494,0.017309343255207672,High
2001-07,13945.499047619047,-0.0025828454441487207,0.016200574998178098,Low
2001-08,13413.207391304348,-0.002918082324941637,0.013934901997686438,Low
2001-09,11012.176842105262,-0.009273027482171953,0.024123969900018756,High
2001-10,10963.933636363638,0.0032760672144124463,0.025753274635202415,High
2001-11,12798.701,0.00675637026590562,0.025281299133686996,High
2001-12,13319.16888888889,0.002930001286740406,0.022994736713583278,High
2002-01,13401.378571428571,-0.0029350222163759187,0.020950078810311964,High
2002-02,13226.795,0.005571440143058413,0.017933588760826694,High
2002-03,13898.270499999999,-0.0026890204014211163,0.018028995735901807,High
2002-04,13343.722272727273,-0.0004982740599437929,0.01625271845260953,Low
2002-05,12515.462857142857,-0.0006545827015400048,0.01698101634930315,High
2002-06,11685.7065,-0.006869164992040544,0.01931875581367811,High
2002-07,10306.10681818182,-0.005675592428951972,0.02225486751922289,High
2002-08,9791.423181818182,0.003097252676350884,0.02625037832585786,High
2002-09,9643.989523809523,-0.008618763382091978,0.022310616533797546,High
2002-10,9180.01347826087,0.007623011161288785,0.02654030567905041,High
2002-11,10030.27,0.0017313795648029595,0.02325217414787405,High
2002-12,10840.55947368421,0.003779738468161539,0.017627601207732203,High
2003-01,11486.191363636362,-0.0011486744871724045,0.017511493594620356,High
2003-02,10351.105,-0.0029879144939576998,0.017799621835804857,High
2003-03,10917.54,0.005018133786250291,0.017939174023318783,High
2003-04,12086.408500000001,0.005535756827143873,0.016929807191291255,High
2003-05,13091.467142857142,0.003312834597937287,0.01666984212974577,High
2003-06,13490.856,-0.0016219027647699947,0.015256012875766214,Low
2003-07,13549.666363636365,0.0021136013200331667,0.013198160734661573,Low
2003-08,14008.435714285715,0.005442213695030148,0.013821627978591919,Low
2003-09,16094.450454545453,0.0025337949611646967,0.013028073330978928,Low
2003-10,17781.659130434786,0.0051876822837512255,0.01510203113463573,Low
2003-11,19012.098,0.005866516126192084,0.014771818484547821,Low
2003-12,21157.7315,0.004916830329678279,0.012784196675921866,Low
2004-01,23412.79333333333,-0.0005589494846490421,0.015740737371917342,Low
2004-02,21969.63388888889,3.8915920620675846e-05,0.02352002862287768,High
2004-03,21918.32695652174,0.0010311124666004185,0.023848843614898977,High
2004-04,21811.204,-0.005914962256116552,0.019932938978696878,High
2004-05,18878.539523809526,0.00015271477721251215,0.022986160729075326,High
2004-06,20221.960476190474,0.003899964580760875,0.020189624230873244,High
2004-07,21743.349523809524,0.0027097591559429694,0.01707833899929126,High
2004-08,22267.546363636364,0.0010605219624763523,0.016246084829468325,Low
2004-09,22699.277142857143,0.0009755958136708619,0.013677003440566712,Low
2004-10,23366.8165,-0.00033105845569998406,0.012916094643138327,Low
2004-11,24045.6565,0.004380699018697709,0.012292029290555267,Low
2004-12,25535.483809523812,0.0020345723006001495,0.011442326951361744,Low
2005-01,24432.875,-0.0035252376763477587,0.013307210059196817,Low
2005-02,26551.408888888887,0.008192272358620035,0.015163032017347986,Low
2005-03,27671.84181818182,-0.002416938984179147,0.016108450360291068,Low
2005-04,25512.625,-0.0032712268599080774,0.016809425883687328,High
2005-05,24810.31761904762,0.0008076027735622617,0.016927778079547703,High
2005-06,25431.17272727273,-0.000129692733509929,0.017786320047966462,High
2005-07,25254.623333333333,0.0019804989738925723,0.015596972441560265,Low
2005-08,27007.76695652174,0.003320746450067978,0.01553261712988937,Low
2005-09,29859.850476190477,0.005724389257635293,0.012994068812327937,Low
2005-10,29843.964,-0.0020018323161813067,0.01770147916738542,High
2005-11,31146.692,0.002829276480463211,0.016354120700673908,High
2005-12,33130.15523809524,0.0022923263527830284,0.012571503817226107,Low
2006-01,36189.55619047619,0.006645915715639164,0.01228804232170461,Low
2006-02,37550.91222222222,0.0004240741298032079,0.01380313405796555,Low
2006-03,37767.08391304348,-0.0006387093363108662,0.014135489789373878,Low
2006-04,39190.61611111111,0.003505775957291118,0.013555862782244806,Low
2006-05,39038.101818181814,-0.004318128156900383,0.015081462416935533,Low
2006-06,35072.387142857144,0.0004035332849430198,0.022353999972598074,High
2006-07,36302.39952380952,0.0007216914431775111,0.02054378334661695,High
2006-08,36923.83130434783,-0.0009430913146271188,0.015591052612163722,Low
2006-09,36173.9035,0.0003943943273966577,0.014199559859224492,Low
2006-10,38628.34952380952,0.0036155578439772316,0.013423506226954268,Low
2006-11,41199.37210526316,0.0035304911564032833,0.011418502933335805,Low
2006-12,43316.66894736842,0.003153867316317522,0.011536931475326319,Low
