date,bvsp,bvsp_daily_returns,vol
2007-03-20,44350.87,0.014602671315217197,0.02081200962569714
2007-03-21,45630.86,0.02886053869969185,0.02124711757914621
2007-03-22,45424.18,-0.004529390855223858,0.020703490945919847
2007-03-23,45532.53,0.002385293471450556,0.020109091300257054
2007-03-26,45644.56,0.0024604387236992764,0.019531809563800413
2007-03-27,45206.53,-0.009596543377786926,0.01917062245821969
2007-03-28,44484.1,-0.01598065589196962,0.0190663267087771
2007-03-29,45355.13,0.019580704116751724,0.019051055657937976
2007-03-30,45804.66,0.009911337482662042,0.018606563024318297
2007-04-02,45597.48,-0.004523120573321604,0.018138204975159652
2007-04-03,46288.16,0.015147328317266728,0.017897788654672675
2007-04-04,46553.93,0.005741641058966129,0.017400969135353002
2007-04-05,46646.57,0.0019899501502880224,0.016902001243675004
2007-04-09,46854.71,0.004462064413310651,0.016422466709756754
2007-04-10,47174.07,0.0068159636459173,0.015979981706317228
2007-04-11,46939.19,-0.0049790064753792995,0.01563185615707595
2007-04-12,47346.56,0.008678675537434621,0.015252170171011818
2007-04-13,47926.23,0.012243128117438884,0.0149773810954371
2007-04-16,48921.21,0.020760656534010602,0.015107966357764676
2007-04-17,48755.48,-0.0033876921686931682,0.014786178282903321
2007-04-18,48709.84,-0.0009360999009753179,0.014406691572622523
2007-04-19,48762.13,0.0010734997281862668,0.014006007088386802
2007-04-20,49408.18,0.013249011066579719,0.013794650580948122
2007-04-23,49162.09,-0.004980754199001125,0.013564961216317376
2007-04-24,49070.86,-0.0018556981609202383,0.013236087472778687
2007-04-25,49675.59,0.012323607126510483,0.01303153598337049
2007-04-26,49067.69,-0.012237398690181478,0.013200958642972126
2007-04-27,49229.6,0.0032997273766097734,0.012822349358363424
2007-04-30,48956.39,-0.00554970993061088,0.0126097383353425
2007-05-02,49471.54,0.010522630447220571,0.012395155080592442
2007-05-03,50218.22,0.01509312222744641,0.012376704980186743
2007-05-04,50597.79,0.007558412066377418,0.012058084790615662
2007-05-07,50281.73,-0.0062465178815122036,0.011945275757806972
2007-05-08,50277.69,-8.034727524297569e-05,0.011627854182207745
2007-05-09,51300.13,0.020335858707907883,0.012001868601661251
2007-05-10,50234.68,-0.020768953217077613,0.013024446545502307
2007-05-11,50902.38,0.013291614478284641,0.012896640358626976
2007-05-14,50510.76,-0.0076935498890228216,0.012784374671278234
2007-05-15,50518.21,0.00014749332617447486,0.012430454022578197
2007-05-16,51737.56,0.024136840952994953,0.013101194750198488
2007-05-17,51631.47,-0.002050541231553904,0.012795690596760114
2007-05-18,52077.68,0.008642209877038232,0.012490041693923279
2007-05-21,52423.45,0.006639504678395802,0.012151621267242237
2007-05-22,52208.09,-0.004108085217588653,0.011948283436313238
2007-05-23,51812.5,-0.007577178172961219,0.011885894163906976
2007-05-24,50530.65,-0.024740168878166435,0.013223081546036117
2007-05-25,51617.97,0.021518029156561314,0.01369917955541502
2007-05-28,52119.97,0.009725295279918944,0.013417884157921863
2007-05-29,51713.18,-0.007804877861595116,0.013266215934549375
2007-05-30,52527.65,0.015749756638443024,0.013273274339989656
2007-05-31,52268.46,-0.004934353621378507,0.013023562490298447
2007-06-01,53422.67,0.022082341817608597,0.013458342424093607
2007-06-04,53242.68,-0.0033691689314666595,0.013173633347223154
2007-06-05,53162.21,-0.0015113814706547712,0.012843062420037632
2007-06-06,52049.31,-0.020934043185939832,0.013672941438980962
2007-06-08,52329.68,0.005386622800571228,0.013310215897014496
2007-06-11,52776.84,0.008545055119771439,0.013024417343658275
2007-06-12,51797.14,-0.018563066678489948,0.013553800420484484
2007-06-13,52993.73,0.023101468536679937,0.01414756520793818
2007-06-14,53712.89,0.013570662038697723,0.013995065906728433
2007-06-15,54518.63,0.015000868506609866,0.013886335261400352
2007-06-18,54730.44,0.003885093957790353,0.013487785657206633
2007-06-19,54643.72,-0.0015844930170486604,0.013156827301829065
2007-06-20,54029.24,-0.011245208049525224,0.013226965491338644
2007-06-21,54656.88,0.011616672749792611,0.01302448102841346
2007-06-22,54267.1,-0.007131398645513598,0.012871741237875833
2007-06-25,54041.57,-0.004155925044824538,0.012597114963745153
2007-06-26,53851.68,-0.003513776524257106,0.01230489895750082
2007-06-27,54143.07,0.005410973250973727,0.011982550294079191
2007-06-28,54146.59,6.501293702032562e-05,0.011646851288851507
2007-06-29,54392.06,0.00453343414608387,0.011330033524391192
2007-07-02,55371.21,0.018001708337577194,0.011627502215361263
2007-07-03,55699.69,0.005932324758660679,0.011316005981205975
2007-07-04,55696.47,-5.7810016536929965e-05,0.011015544632123295
2007-07-05,55932.34,0.004234918299130808,0.01070386374622202
2007-07-06,56443.73,0.009143011002221701,0.010496830458235724
2007-07-10,55882.7,-0.009939633684733606,0.010659075942225616
2007-07-11,56356.13,0.00847185264849415,0.01044516250363186
2007-07-12,57613.05,0.02230316382618902,0.01111876214083894
2007-07-13,57644.16,0.000539981827033964,0.0108299578300422
2007-07-16,57374.4,-0.004679745528428203,0.010705549736459073
2007-07-17,57659.65,0.004971729551855875,0.010405319807747873
2007-07-18,57555.85,-0.0018002190439935228,0.010180367497780306
2007-07-19,58124.57,0.009881184970771839,0.010014279644399614
2007-07-20,57442.74,-0.011730495382589523,0.010362272997226455
2007-07-23,58036.77,0.010341254612854511,0.010225383878754282
2007-07-24,55794.57,-0.0386341279847241,0.01394060871105998
2007-07-25,56001.3,0.0037051992693912794,0.013558433600040372
2007-07-26,53893.15,-0.037644661820350644,0.015971366542965177
2007-07-27,52922.23,-0.01801564762868746,0.016000760247122617
2007-07-30,54572.61,0.03118500486468534,0.01740647264123952
2007-07-31,54182.5,-0.007148457806947506,0.01698170112730574
2007-08-01,54233.87,0.0009480920961566497,0.01649880158470522
2007-08-02,54690.92,0.00842739048494967,0.01616548672530269
2007-08-03,52846.38,-0.03372662226197698,0.017567884174285495
2007-08-06,53091.1,0.004630780764926623,0.017134735124464062
2007-08-07,53802.48,0.013399232639745629,0.017012872803526254
2007-08-08,55241.37,0.026743934480343734,0.017741994603572224
2007-08-09,53430.84,-0.03277489316430793,0.018942458039735238
2007-08-10,52638.13,-0.014836188238852355,0.01867691619296166
2007-08-13,52434.01,-0.003877797330566146,0.01814647500428572
2007-08-14,50911.75,-0.02903192031278934,0.01872895975284274
2007-08-15,49285.3,-0.031946456368127096,0.019371635379778433
2007-08-16,48015.55,-0.025763260038997426,0.019425921309024107
2007-08-17,48558.76,0.01131320999134644,0.01931632337651404
2007-08-20,49206.36,0.013336419628507734,0.01926553418198487
2007-08-21,49815.08,0.012370758576736751,0.01911505496465647
2007-08-22,51744.56,0.03873284957085277,0.021024144346894483
2007-08-23,51848.23,0.002003495633164265,0.020432187641118964
2007-08-24,52997.56,0.02216719837880654,0.020562345048604897
2007-08-27,53078.15,0.0015206360443764666,0.019973300745598742
2007-08-28,51645.33,-0.026994535416174026,0.020448839836351037
2007-08-29,52734.64,0.021092129724023412,0.02052551580797307
2007-08-30,52857.84,0.0023362252970722253,0.01994206902925507
2007-08-31,54637.24,0.033663880325037976,0.020883117195888246
2007-09-03,54832.51,0.0035739360187301283,0.020285800250377822
2007-09-04,55250.47,0.0076224852737909465,0.019742237507642087
2007-09-05,54407.83,-0.015251272975596364,0.01962896141043916
2007-09-06,54569.0,0.002962257454487638,0.019067910777984788
2007-09-10,52652.57,-0.035119390129927264,0.020434605190708697
2007-09-11,53920.57,0.024082395218315122,0.020660565607585266
2007-09-12,53882.71,-0.0007021439127962159,0.02007129321768203
2007-09-13,54908.18,0.01903152235661487,0.019953073078295747
2007-09-14,54671.0,-0.004319574970432449,0.01943550384964012
2007-09-17,54340.54,-0.006044520861151259,0.018961873389781645
2007-09-18,56666.3,0.042799721901917165,0.020847794174758235
2007-09-19,57264.22,0.010551597686808467,0.020316516710081486
2007-09-20,56906.44,-0.006247880439129383,0.019876218996576486
2007-09-21,57798.79,0.01568100200961431,0.019521651628062034
2007-09-24,58719.37,0.015927323046036168,0.01916539194421815
2007-09-25,58857.78,0.002357143818130236,0.01862318800841558
2007-09-26,59714.83,0.014561371495832809,0.018239633651155166
2007-09-27,61052.44,0.02239996329220073,0.018172781810945452
2007-09-28,60465.06,-0.00962090950009542,0.01803245848594493
2007-10-01,62340.34,0.031014275020978976,0.018529889136983748
2007-10-02,62017.12,-0.005184764792748875,0.018211678134037824
2007-10-03,60098.57,-0.030935812562724707,0.01969683123015839
2007-10-04,60406.72,0.005127409853512344,0.01913335654082268
2007-10-05,62318.72,0.031652107580083744,0.01968404300681093
2007-10-08,62660.85,0.005490003645774344,0.019118838276006283
2007-10-09,63548.69,0.01416897472664358,0.018679577882690937
2007-10-10,63197.04,-0.0055335523045400015,0.018345006203336383
2007-10-11,62455.77,-0.011729505052768374,0.018264562601680804
2007-10-15,62969.0,0.008217495357114357,0.017762532255291435
2007-10-16,61717.9,-0.019868506725531643,0.018183938851374714
2007-10-17,63193.67,0.023911539439935625,0.018314960062716393
2007-10-18,63261.33,0.0010706768573498504,0.017806312383785754
2007-10-19,60894.29,-0.03741685481478185,0.01986160071704784
2007-10-22,61215.13,0.0052688027071174925,0.019307793039945804
2007-10-23,62697.14,0.024209864456711916,0.019459650899321782
2007-10-24,62624.81,-0.001153641138973871,0.018929881387602564
2007-10-25,62341.49,-0.004524085582056081,0.018472146889413937
2007-10-26,64275.58,0.03102412213760064,0.0191376302292631
2007-10-29,65044.31,0.011959907635216815,0.018676132116406598
2007-10-30,64383.13,-0.010165070549599142,0.018470703175842023
2007-10-31,65317.7,0.01451575901948221,0.018114373605953797
2007-11-01,64050.08,-0.019406990754420206,0.018461672849727453
2007-11-05,62959.55,-0.01702620824205059,0.018541756657875306
2007-11-06,64503.43,0.024521776283343844,0.01877117887914186
2007-11-07,63500.62,-0.015546615117986717,0.018756348329501033
2007-11-08,63561.91,0.0009651874265164118,0.01821995132424118
2007-11-09,64320.56,0.011935607347230315,0.017846550539418127
2007-11-12,61526.87,-0.04343385691915613,0.020427989777101734
2007-11-13,62927.03,0.02275688654404151,0.02054389028981192
2007-11-14,64630.87,0.027076440760035902,0.020847481906174355
2007-11-16,64609.38,-0.00033250364725101456,0.020262090184727254
2007-11-19,62336.02,-0.035186222186314176,0.021584590734264428
2007-11-21,60581.54,-0.028145524850640036,0.02201292523460398
2007-11-22,60653.01,0.0011797323078943656,0.021387808040563113
2007-11-23,60970.9,0.0052411248839916436,0.02082543702203912
2007-11-26,59069.17,-0.031190781175938098,0.021457242747355176
2007-11-27,59431.5,0.006133995111155199,0.020936765592503327
2007-11-28,61714.64,0.03841632804152684,0.022426949524242325
2007-11-29,62156.34,0.007157134838670309,0.021840968328661843
2007-11-30,63006.16,0.013672297950619416,0.02142890131771181
2007-12-03,63199.85,0.003074143861488965,0.020816904034313462
2007-12-04,63481.53,0.004456972603574139,0.020230421175228403
2007-12-05,64927.96,0.022785052597188438,0.020259753784679955
2007-12-06,65790.8,0.013289190050018496,0.019827313277990595
2007-12-07,65638.54,-0.002314305343604439,0.01930653428954754
2007-12-10,65445.96,-0.0029339470378224597,0.018807076110095362
2007-12-11,64512.26,-0.014266732430848195,0.01870257761072745
2007-12-12,64741.69,0.003556378276005301,0.018169830955546282
2007-12-13,62860.99,-0.02904928802445539,0.019088662042186934
2007-12-14,62444.97,-0.006618094942507202,0.018609653518333075
2007-12-17,59828.21,-0.041905056564203735,0.02055496008318814
2007-12-18,61096.28,0.021195185348182655,0.020725915815443408
2007-12-19,61721.71,0.010236793467621963,0.020308435693273914
2007-12-20,61716.2,-8.927166794314711e-05,0.019725585864250564
2007-12-21,63097.71,0.022384884357753654,0.019897933360880308
2007-12-26,64288.26,0.018868355127309666,0.019786812129875472
2007-12-27,63774.38,-0.007993372351343897,0.019355445394428177
2007-12-28,63886.1,0.0017518006447103662,0.01880004328047103
2008-01-02,62815.13,-0.016763740469366573,0.0187439041872247
2008-01-03,62891.97,0.0012232721638880673,0.018207106922815894
2008-01-04,61036.61,-0.02950074548467796,0.01901608134054912
2008-01-07,60772.15,-0.0043328094401048345,0.018483045608192254
2008-01-08,62080.73,0.02153256055611008,0.01875044378986709
2008-01-09,62673.69,0.009551434076242371,0.018356212177712185
2008-01-10,63515.48,0.013431313841581805,0.018092540250443854
2008-01-11,61942.36,-0.024767505496297915,0.018587467256002542
2008-01-14,62187.78,0.003962070544293095,0.018082761386190135
2008-01-15,59907.06,-0.03667472934393223,0.019540333680380502
2008-01-16,58777.45,-0.018856041341371088,0.019375927907970044
2008-01-17,57036.85,-0.02961339765505311,0.019815377211357888
2008-01-18,57506.47,0.008233624402469664,0.019482587624823175
2008-01-21,53709.11,-0.06603361326125567,0.02387890916892854
2008-01-22,56097.18,0.04446303429716103,0.026194306680170042
2008-01-23,54234.82,-0.03319881676761649,0.02631680924726741
2008-01-24,57463.31,0.05952799327074376,0.02984137098825739
2008-01-28,58593.78,0.019672900847514718,0.029443834720356016
2008-01-29,59529.58,0.015970978489525667,0.028879415781384636
2008-01-30,60289.41,0.01276390661583715,0.02821436494294137
2008-01-31,59490.4,-0.013252907931923685,0.027594395072725736
2008-02-01,61079.83,0.026717419953471433,0.027537778803447086
2008-02-06,58968.53,-0.03456623896955846,0.028037310120597254
2008-02-07,58965.48,-5.172250351159757e-05,0.027232730238871936
2008-02-08,59075.98,0.001873977791752024,0.026457691184147595
2008-02-11,60643.22,0.026529225583731275,0.026471699103735
2008-02-12,61805.47,0.019165374134157087,0.02606319903219419
2008-02-13,62590.65,0.01270405354089199,0.025438931612703355
2008-02-14,61818.99,-0.012328678484725852,0.024955557550603198
2008-02-15,61271.87,-0.008850354882860345,0.024366435757403698
2008-02-18,62801.43,0.024963494667291863,0.024316164827911595
2008-02-19,62296.54,-0.008039466617241087,0.02374715889013782
2008-02-20,63747.49,0.023291020657005834,0.023603949587677267
2008-02-21,63792.23,0.0007018315544660148,0.022933208065363243
2008-02-22,64608.78,0.012800148231218778,0.022393322341592817
2008-02-25,65000.94,0.006069763273660378,0.021758403258804092
2008-02-26,65182.61,0.002794882658619935,0.02113465777636042
2008-02-27,65494.85,0.004790234696033124,0.020529586719175794
2008-02-28,65555.08,0.0009196142902838655,0.019950748555377023
2008-02-29,63489.3,-0.03151212690153071,0.02104962468574369
2008-03-03,64490.46,0.015768956343824803,0.020715086109905318
2008-03-04,63655.54,-0.012946410988539991,0.020438068902345157
2008-03-05,64629.48,0.015300160834390786,0.02011348284012863
2008-03-06,62974.65,-0.02560487876430384,0.020601231981252865
2008-03-07,61867.99,-0.017573102827883935,0.020463385172547484
2008-03-10,59999.27,-0.03020495736163409,0.02107412020697903
2008-03-11,62367.72,0.039474646941537905,0.022665197710627954
2008-03-12,62176.58,-0.0030647264321992385,0.02202871627548407
2008-03-13,62279.71,0.0016586631172057498,0.02139918006659873
2008-03-14,61990.99,-0.004635859736662251,0.020815863902554667
2008-03-17,60011.84,-0.031926413822395805,0.02155541707106243
2008-03-18,61932.78,0.032009350154902805,0.022392733406888507
2008-03-19,58827.36,-0.05014178275220327,0.02473147999649679
2008-03-20,58987.31,0.0027189729404819563,0.024055998039347475
2008-03-24,59812.53,0.01398978865115219,0.02368212669051892
2008-03-25,61234.06,0.02376642486114533,0.02375555701470481
2008-03-26,61415.28,0.002959464062974204,0.023084658549249005
2008-03-27,60761.68,-0.010642302697309147,0.02256196445470076
2008-03-28,60452.12,-0.005094658343877234,0.021940116250884694
2008-03-31,60968.07,0.008534853699092793,0.02142226899754169
2008-04-01,62774.85,0.029634856409264776,0.021957433107521577
2008-04-02,63364.36,0.009390862742005845,0.021408678944489806
2008-04-03,64175.05,0.012794100658477525,0.020951098314477865
2008-04-04,64445.97,0.004221578323663211,0.020353552477481714
2008-04-07,64175.58,-0.0041956075763930345,0.019833047750375865
2008-04-08,64539.54,0.0056713160987402755,0.01928070504968574
2008-04-09,63476.92,-0.016464635477724254,0.01924264823571291
2008-04-10,63527.11,0.0007906810853457458,0.018690545385451163
2008-04-11,62585.21,-0.014826740898492008,0.018543777618397466
2008-04-14,62153.45,-0.006898754514045757,0.0180922343515904
2008-04-15,62618.39,0.007480517976073742,0.017660623170126177
2008-04-16,64151.94,0.024490409287112103,0.018059859217120933
