date,bvsp,volume,moving_average_1,moving_average_2,moving_average_3,moving_average_9,moving_average_12,cmp_moving_average_1_moving_average_9,cmp_moving_average_1_moving_average_12,cmp_moving_average_2_moving_average_9,cmp_moving_average_2_moving_average_12,cmp_moving_average_3_moving_average_9,cmp_moving_average_3_moving_average_12,OBV,obv_ma_1,obv_ma_2,obv_ma_3,obv_ma_9,obv_ma_12,cmp_obv_ma_1_obv_ma_9,cmp_obv_ma_1_obv_ma_12,cmp_obv_ma_2_obv_ma_9,cmp_obv_ma_2_obv_ma_12,cmp_obv_ma_3_obv_ma_9,cmp_obv_ma_3_obv_ma_12,selic,bvsp_returns,risk premium,pred_moving_average_1,pred_moving_average_2,pred_moving_average_3,pred_moving_average_9,pred_moving_average_12,pred_cmp_moving_average_1_moving_average_9,pred_cmp_moving_average_1_moving_average_12,pred_cmp_moving_average_2_moving_average_9,pred_cmp_moving_average_2_moving_average_12,pred_cmp_moving_average_3_moving_average_9,pred_cmp_moving_average_3_moving_average_12,pred_OBV,pred_obv_ma_1,pred_obv_ma_2,pred_obv_ma_3,pred_obv_ma_9,pred_obv_ma_12,pred_cmp_obv_ma_1_obv_ma_9,pred_cmp_obv_ma_1_obv_ma_12,pred_cmp_obv_ma_2_obv_ma_9,pred_cmp_obv_ma_2_obv_ma_12,pred_cmp_obv_ma_3_obv_ma_9,pred_cmp_obv_ma_3_obv_ma_12
2001-04,14441.44,4651414918000.0,14441.44,15166.045,16000.743333333332,15687.769999999999,15708.353333333334,0.0,0.0,0.0,0.0,1.0,1.0,1.4370010318281e+16,1.4370010318281e+16,1.437233602574e+16,1.4374595385789e+16,1.4374966424659e+16,1.4376504310160416e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.002680274198661239,-0.09119891256808244,-0.09387919,0.005210718821078934,0.011277959395736243,0.013615723889592942,0.015307381663452637,0.01498207734792448,-0.026652395499999988,-0.022061112376237618,-0.014970186451612907,-0.01010047446601942,0.0129015115060241,0.01426949426035503,0.005326129920238842,0.005326129920238842,0.008771964827637924,0.01011161840016972,0.013387127747958028,0.013543384905059241,-0.025847565494505502,-0.02276693093023255,-0.009780433870967744,-0.009271499634146332,-0.002980383125000003,-0.00437608069767443
2001-05,14877.14,5939481585000.0,14877.14,14659.29,15069.743333333332,15510.25,15648.429166666667,0.0,0.0,0.0,0.0,0.0,0.0,1.4375949799866e+16,1.4375949799866e+16,1.43729800590735e+16,1.4373540617115334e+16,1.4374945135583222e+16,1.4375924413938e+16,1.0,1.0,0.0,0.0,0.0,0.0,0.0027116423978401105,0.030170121539126127,0.02745848,0.005230890477471564,0.011325226112072588,0.013756211120640183,0.015341891621947639,0.014993405533636636,-0.026652395499999988,-0.022061112376237618,-0.014970186451612907,-0.01010047446601942,-0.0021292189000000055,-0.004977479484536078,0.005519595847927994,0.005519595847927994,0.008754666745862005,0.010167241258698834,0.013389588349616233,0.013614689616420428,0.024462042742857147,0.02159269488888889,-0.009780433870967744,-0.009271499634146332,-0.002980383125000003,-0.00437608069767443
2001-06,14654.43,4350074306000.0,14654.43,14765.785,14657.669999999998,15209.663333333334,15622.353333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.437159972556e+16,1.437159972556e+16,1.4373774762713e+16,1.4372519947902334e+16,1.4373913382161334e+16,1.4375378723803334e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0027987412817400427,-0.014969947180708099,-0.01776869,0.005220579645258567,0.011315292970897386,0.013818392690552543,0.015400325789313671,0.014998334961929604,-0.026652395499999988,-0.022061112376237618,-0.014970186451612907,-0.01010047446601942,-0.0021292189000000055,-0.004977479484536078,0.005377901467857438,0.005377901467857438,0.008733321812566475,0.010221065894049808,0.013508838908318,0.013681788307601472,-0.025847565494505502,-0.02276693093023255,-0.009780433870967744,-0.009271499634146332,-0.002980383125000003,-0.00437608069767443
2001-07,14579.3,3623631290000.0,14579.3,14616.865,14703.623333333331,15057.387777777776,15441.733333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.436797609427e+16,1.436797609427e+16,1.4369787909915e+16,1.4371841873232e+16,1.4372999940850002e+16,1.4374185286802248e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0028292528598908586,-0.005126777363568591,-0.00795603,0.005217101342424557,0.011329183232259994,0.013811458365571457,0.015429928217783849,0.015032479732180826,-0.026652395499999988,-0.022061112376237618,-0.014970186451612907,-0.01010047446601942,-0.0021292189000000055,-0.004977479484536078,0.005259869417569785,0.005259869417569785,0.008840404632881826,0.010256823925551606,0.013614414896152782,0.013828534703940187,-0.025847565494505502,-0.02276693093023255,-0.009780433870967744,-0.009271499634146332,-0.002980383125000003,-0.00437608069767443
2001-08,13757.49,3926633063000.0,13757.49,14168.395,14330.406666666664,14935.122222222222,15215.289166666667,0.0,0.0,0.0,0.0,0.0,0.0,1.4364049461207e+16,1.4364049461207e+16,1.43660127777385e+16,1.4367875093679e+16,1.4372007830352444e+16,1.4373177625107166e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0028383594636897415,-0.056368275568785875,-0.05920664,0.005179053903957657,0.011371013513708348,0.013867776492403554,0.015453696690336747,0.015075287195615458,-0.026652395499999988,-0.022061112376237618,-0.014970186451612907,-0.01010047446601942,-0.0021292189000000055,-0.004977479484536078,0.005131967731647147,0.005131967731647147,0.008941800852156734,0.010466010663270908,0.013729083506518247,0.013952437953418384,-0.025847565494505502,-0.02276693093023255,-0.009780433870967744,-0.009271499634146332,-0.002980383125000003,-0.00437608069767443
2001-09,12848.99,5019969551000.0,12848.99,13303.24,13728.593333333332,14884.632222222222,14839.395833333334,0.0,0.0,0.0,0.0,0.0,0.0,1.4359029491656e+16,1.4359029491656e+16,1.43615394764315e+16,1.4363685015711e+16,1.4370895766952444e+16,1.437135629054875e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0028410244073441395,-0.06603675525113961,-0.06887778,0.0051369929679174805,0.011451709384438721,0.013958589691981759,0.015463511966386841,0.01514634683189955,-0.026652395499999988,-0.022061112376237618,-0.014970186451612907,-0.01010047446601942,-0.0021292189000000055,-0.004977479484536078,0.004968452944665025,0.004968452944665025,0.00906194918577824,0.01068697296510901,0.013857616331269362,0.014176391360872564,-0.025847565494505502,-0.02276693093023255,-0.009780433870967744,-0.009271499634146332,-0.002980383125000003,-0.00437608069767443
2001-10,10633.44,5000925408000.0,10633.44,11741.215,12413.306666666665,14372.557777777776,14396.367499999998,0.0,0.0,0.0,0.0,0.0,0.0,1.4354028566248e+16,1.4354028566248e+16,1.4356529028952e+16,1.4359035839703666e+16,1.4368491032908222e+16,1.4369508915563416e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0028383594636897415,-0.17242989526803265,-0.17526825,0.005034419377555549,0.011597404626883846,0.014157065504906953,0.015563059441736828,0.015230097804418924,-0.026652395499999988,-0.022061112376237618,-0.014970186451612907,-0.01010047446601942,-0.0021292189000000055,-0.004977479484536078,0.004805558479968608,0.004805558479968608,0.009196524720499755,0.010932145642103652,0.014135556653267933,0.014403546729390149,-0.025847565494505502,-0.02276693093023255,-0.009780433870967744,-0.009271499634146332,-0.002980383125000003,-0.00437608069767443
2001-11,11362.01,5955654760000.0,11362.01,10997.725,11614.813333333334,13671.654444444446,14105.045,0.0,0.0,0.0,0.0,0.0,0.0,1.4359984221008e+16,1.4359984221008e+16,1.4357006393628e+16,1.4357680759637334e+16,1.436636549014389e+16,1.4368426062673666e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0028383594636897415,0.06851686754239461,0.06567851,0.005068150072295001,0.011666752400322507,0.014277557575164398,0.015699315328072692,0.015285169999256217,-0.026652395499999988,-0.022061112376237618,-0.014970186451612907,-0.01010047446601942,-0.0021292189000000055,-0.004977479484536078,0.004999551214292353,0.004999551214292353,0.009183703189729775,0.011003605317297827,0.014381227912324546,0.014536695575279257,-0.025847565494505502,-0.02276693093023255,-0.009780433870967744,-0.009271499634146332,-0.002980383125000003,-0.00437608069767443
2001-12,12913.88,5293539460000.0,12913.88,12137.945,11636.44333333333,13340.902222222221,14072.585,0.0,0.0,0.0,0.0,0.0,0.0,1.4365277760468e+16,1.4365277760468e+16,1.4362630990738e+16,1.4359763515908e+16,1.4365322826507112e+16,1.4368112704191334e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0028383594636897415,0.13658410791752496,0.13374575,0.005139997188214285,0.011560400306507889,0.014274293623706233,0.015763613691417773,0.015291306303333033,-0.026652395499999988,-0.022061112376237618,-0.014970186451612907,-0.01010047446601942,-0.0021292189000000055,-0.004977479484536078,0.005171976956797275,0.005171976956797275,0.009032632219169112,0.01089377189098728,0.014501739478931741,0.014575226497315796,-0.025847565494505502,-0.02276693093023255,-0.009780433870967744,-0.009271499634146332,-0.002980383125000003,-0.00437608069767443
2002-01,13585.79,5184964531000.0,13585.79,13249.835,12620.559999999998,13245.83,13934.558333333334,1.0,0.0,1.0,0.0,0.0,0.0,1.4370462724999e+16,1.4370462724999e+16,1.43678702427335e+16,1.4365241568825e+16,1.4365373093920224e+16,1.4367678666887416e+16,1.0,1.0,1.0,1.0,0.0,0.0,0.0028383594636897415,0.05203006377634001,0.0491917,0.005171104687977362,0.011456690645572688,0.014125791125824986,0.015782095769171924,0.015317399143671176,0.027674509457831314,-0.022061112376237618,0.019196279537572258,-0.01010047446601942,-0.0021292189000000055,-0.004977479484536078,0.005340866102873321,0.005340866102873321,0.008891911227337512,0.010604888678938273,0.0144959295470517,0.014628596227070023,0.024462042742857147,0.02159269488888889,0.016406412543352605,0.014614086902173914,-0.002980383125000003,-0.00437608069767443
